Participant ID,Moderator Initials,Device Type,Session Type,Study Day,Daily Session,VIMSSQ-Intake
1033,LAV,AI Glasses & Neural Band,Watching,2,2,8.0
1033,LAV,AI Glasses & Neural Band,Discover & Learn,2,1,8.0
1033,BDY,AI Glasses & Neural Band,Setup & Device Management,1,1,8.0
1033,BYD,AI Glasses & Neural Band,Capture & Share,1,2,8.0
1033,LAV,Gen 2 Glasses,Discover & Learn,4,2,8.0
1033,LAV,Gen 2 Glasses,Capture & Share,4,1,8.0
1033,LAV,AI Glasses & Neural Band,Discover & Learn,3,2,8.0
1033,LAV,AI Glasses & Neural Band,Watching,3,1,8.0
1061,JEV,AI Glasses & Neural Band,Capture & Share,1,2,7.0
1061,KAM,AI Glasses & Neural Band,Discover & Learn,2,1,7.0
1061,KAM,AI Glasses & Neural Band,Watching,2,2,7.0
1061,KAM,AI Glasses & Neural Band,Watching,4,1,7.0
1061,JEV,AI Glasses & Neural Band,Setup & Device Management,1,1,7.0
1061,KAM,Gen 2 Glasses,Capture & Share,3,1,7.0
1061,JEV,Gen 2 Glasses,Discover & Learn,3,2,7.0
1061,KAM,AI Glasses & Neural Band,Discover & Learn,4,2,7.0
1092,KAM,Gen 2 Glasses,Capture & Share,4,1,41.0
1092,KAM,AI Glasses & Neural Band,Capture & Share,1,2,41.0
1092,KAM,AI Glasses & Neural Band,Watching,3,2,41.0
1092,KAM,Gen 2 Glasses,Discover & Learn,4,2,41.0
1092,KAM,AI Glasses & Neural Band,Watching,2,2,41.0
1092,KAM,AI Glasses & Neural Band,Discover & Learn,3,1,41.0
1092,KAM,AI Glasses & Neural Band,Discover & Learn,2,1,41.0
1092,KAM,AI Glasses & Neural Band,Setup & Device Management,1,1,41.0
1050,ARO,AI Glasses & Neural Band,Discover & Learn,2,1,28.1
1050,LAV,AI Glasses & Neural Band,Discover & Learn,3,2,28.1
1050,UGP,Gen 2 Glasses,Discover & Learn,4,1,28.1
1050,ARO,AI Glasses & Neural Band,Watching,2,2,28.1
1050,JEV,AI Glasses & Neural Band,Capture & Share,1,2,28.1
1050,JEV,AI Glasses & Neural Band,Setup & Device Management,1,1,28.1
1050,LAV,AI Glasses & Neural Band,Watching,3,1,28.1
1050,UGP,Gen 2 Glasses,Capture & Share,4,2,28.1
1068,Jh,AI Glasses & Neural Band,Discover & Learn,2,1,0.0
1068,Jh,AI Glasses & Neural Band,Discover & Learn,3,2,0.0
1068,RO,Gen 2 Glasses,Capture & Share,4,2,0.0
1068,KAM,AI Glasses & Neural Band,Capture & Share,1,2,0.0
1068,Jh,AI Glasses & Neural Band,Watching,2,2,0.0
1068,KAM,AI Glasses & Neural Band,Setup & Device Management,1,1,0.0
1068,RO,Gen 2 Glasses,Discover & Learn,4,1,0.0
1068,Jh,AI Glasses & Neural Band,Watching,3,1,0.0
1032,LAV,AI Glasses & Neural Band,Watching,2,2,6.0
1032,RO,AI Glasses & Neural Band,Capture & Share,1,2,6.0
1032,RO,AI Glasses & Neural Band,Setup & Device Management,1,1,6.0
1032,LAV,AI Glasses & Neural Band,Discover & Learn,2,1,6.0
1032,LAV,AI Glasses & Neural Band,Watching,3,1,6.0
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,6.0
1032,LAV,AI Glasses & Neural Band,Discover & Learn,3,2,6.0
1032,WIL,Gen 2 Glasses,Capture & Share,4,2,6.0
3012,LAV,AI Glasses & Neural Band,Setup & Device Management,1,1,60.5
3012,LAV,Gen 2 Glasses,Capture & Share,4,2,60.5
3012,LAV,AI Glasses & Neural Band,Watching,2,2,60.5
3012,LAV,AI Glasses & Neural Band,Discover & Learn,3,2,60.5
3012,LAV,AI Glasses & Neural Band,Watching,3,1,60.5
3012,LAV,AI Glasses & Neural Band,Capture & Share,1,2,60.5
3012,LAV,AI Glasses & Neural Band,Discover & Learn,2,1,60.5
3012,LAV,Gen 2 Glasses,Discover & Learn,4,1,60.5
3013,JMH,Gen 2 Glasses,Capture & Share,4,2,28.0
3013,JMH,Gen 2 Glasses,Discover & Learn,4,1,28.0
3013,JMH,AI Glasses & Neural Band,Watching,2,1,28.0
3013,JMH,AI Glasses & Neural Band,Discover & Learn,3,2,28.0
3013,JMH,AI Glasses & Neural Band,Discover & Learn,2,2,28.0
3013,JMH,AI Glasses & Neural Band,Watching,3,1,28.0
3013,JMH,AI Glasses & Neural Band,Capture & Share,1,2,28.0
3013,JMH,AI Glasses & Neural Band,Setup & Device Management,1,1,28.0
3014,RSI,AI Glasses & Neural Band,Discover & Learn,2,1,48.7
3014,RSI,AI Glasses & Neural Band,Setup & Device Management,1,1,48.7
3014,RSI,AI Glasses & Neural Band,Watching,3,1,48.7
3014,RSI,Gen 2 Glasses,Discover & Learn,4,1,48.7
3014,RSI,AI Glasses & Neural Band,Watching,2,2,48.7
3014,RSI,Gen 2 Glasses,Capture & Share,4,2,48.7
3014,RSI,AI Glasses & Neural Band,Capture & Share,1,2,48.7
3014,RSI,AI Glasses & Neural Band,Discover & Learn,3,2,48.7
3007,JMH,AI Glasses & Neural Band,Capture & Share,1,2,31.6
3007,JMH,AI Glasses & Neural Band,Watching,2,1,31.6
3007,ARO,Gen 2 Glasses,Capture & Share,4,1,31.6
3007,ARO,AI Glasses & Neural Band,Watching,3,2,31.6
3007,ARO,Gen 2 Glasses,Discover & Learn,4,2,31.6
3007,JMH,AI Glasses & Neural Band,Setup & Device Management,1,1,31.6
3007,ARO,AI Glasses & Neural Band,Discover & Learn,3,1,31.6
3007,JMH,AI Glasses & Neural Band,Discover & Learn,2,2,31.6
3009,RAO,Gen 2 Glasses,Discover & Learn,4,2,41.6
3009,RAO,AI Glasses & Neural Band,Setup & Device Management,1,1,41.6
3009,RAO,AI Glasses & Neural Band,Watching,3,2,41.6
3009,RAO,AI Glasses & Neural Band,Capture & Share,1,2,41.6
3009,RAO,AI Glasses & Neural Band,Watching,2,2,41.6
3009,RAO,AI Glasses & Neural Band,Discover & Learn,3,1,41.6
3009,RAO,AI Glasses & Neural Band,Discover & Learn,2,1,41.6
3009,RAO,Gen 2 Glasses,Capture & Share,4,1,41.6
3008,WIL,AI Glasses & Neural Band,Discover & Learn,3,2,12.0
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,12.0
3008,WIL,AI Glasses & Neural Band,Setup & Device Management,1,1,12.0
3008,WIL,AI Glasses & Neural Band,Watching,2,1,12.0
3008,WIL,AI Glasses & Neural Band,Capture & Share,1,2,12.0
3008,WIL,Gen 2 Glasses,Capture & Share,4,1,12.0
3008,WIL,AI Glasses & Neural Band,Watching,3,1,12.0
3008,WIL,Gen 2 Glasses,Discover & Learn,4,2,12.0
3001,ARO,AI Glasses & Neural Band,Watching,2,1,2.2
3001,JMH,AI Glasses & Neural Band,Watching,3,1,2.2
3001,ARO,AI Glasses & Neural Band,Discover & Learn,2,2,2.2
3001,JMH,Gen 2 Glasses,Capture & Share,4,1,2.2
3001,JMH,Gen 2 Glasses,Discover & Learn,4,2,2.2
3001,ARO,AI Glasses & Neural Band,Capture & Share,1,2,2.2
3001,ARO,AI Glasses & Neural Band,Setup & Device Management,1,1,2.2
3001,JMH,AI Glasses & Neural Band,Discover & Learn,3,2,2.2
3006,LAV,AI Glasses & Neural Band,Discover & Learn,2,2,0.0
3006,LAV,AI Glasses & Neural Band,Watching,3,2,0.0
3006,LAV,AI Glasses & Neural Band,Discover & Learn,3,1,0.0
3006,LAV,AI Glasses & Neural Band,Setup & Device Management,1,1,0.0
3006,LAV,AI Glasses & Neural Band,Watching,2,1,0.0
3006,LAV,Gen 2 Glasses,Capture & Share,4,1,0.0
3006,LAV,AI Glasses & Neural Band,Capture & Share,1,2,0.0
3006,LAV,Gen 2 Glasses,Discover & Learn,4,2,0.0
1019,WIL,AI Glasses & Neural Band,Watching,4,2,1.0
1019,SMR,AI Glasses & Neural Band,Setup & Device Management,1,1,1.0
1019,GTR,Gen 2 Glasses,Discover & Learn,3,2,1.0
1019,WIL,AI Glasses & Neural Band,Discover & Learn,2,1,1.0
1019,GTR,Gen 2 Glasses,Capture & Share,3,1,1.0
1019,WIL,AI Glasses & Neural Band,Watching,2,2,1.0
1019,MAX,AI Glasses & Neural Band,Capture & Share,1,2,1.0
1019,WIL,AI Glasses & Neural Band,Discover & Learn,4,1,1.0
1021,Jh,AI Glasses & Neural Band,Discover & Learn,2,1,30.0
1021,Jh,AI Glasses & Neural Band,Discover & Learn,2,2,30.0
1021,Jh,Gen 2 Glasses,Discover & Learn,4,1,30.0
1021,Jh,AI Glasses & Neural Band,Watching,3,2,30.0
1021,Jh,AI Glasses & Neural Band,Setup & Device Management,1,1,30.0
1021,Jh,AI Glasses & Neural Band,Watching,3,1,30.0
1021,Jh,Gen 2 Glasses,Capture & Share,4,2,30.0
1075,UGP,AI Glasses & Neural Band,Discover & Learn,3,2,6.0
1075,UGP,AI Glasses & Neural Band,Capture & Share,1,2,6.0
1075,UGP,AI Glasses & Neural Band,Watching,3,1,6.0
1075,UGP,AI Glasses & Neural Band,Watching,2,2,6.0
1075,RAO,Gen 2 Glasses,Capture & Share,4,2,6.0
1075,RAO,Gen 2 Glasses,Discover & Learn,4,1,6.0
1075,UGP,AI Glasses & Neural Band,Setup & Device Management,1,1,6.0
1075,UGP,AI Glasses & Neural Band,Discover & Learn,2,1,6.0
1086,ARO,AI Glasses & Neural Band,Capture & Share,1,2,89.1
1086,ARO,AI Glasses & Neural Band,Watching,2,2,89.1
1086,ARO,AI Glasses & Neural Band,Setup & Device Management,1,1,89.1
1086,RSI,AI Glasses & Neural Band,Watching,3,2,89.1
1086,RSI,AI Glasses & Neural Band,Discover & Learn,3,1,89.1
1086,RSI,Gen 2 Glasses,Capture & Share,4,1,89.1
1086,RSI,Gen 2 Glasses,Discover & Learn,4,2,89.1
1086,ARO,AI Glasses & Neural Band,Discover & Learn,2,1,89.1
1044,LAV,Gen 2 Glasses,Capture & Share,4,2,0.0
1044,RAO,AI Glasses & Neural Band,Discover & Learn,2,1,0.0
1044,RAO,AI Glasses & Neural Band,Watching,3,1,0.0
1044,LAV,Gen 2 Glasses,Discover & Learn,4,1,0.0
1044,RO,AI Glasses & Neural Band,Setup & Device Management,1,1,0.0
1044,RAO,AI Glasses & Neural Band,Discover & Learn,3,2,0.0
1044,RAO,AI Glasses & Neural Band,Watching,2,2,0.0
1044,RO,AI Glasses & Neural Band,Capture & Share,1,2,0.0
1088,UGP,AI Glasses & Neural Band,Discover & Learn,2,1,97.9
1088,ARO,Gen 2 Glasses,Discover & Learn,4,2,97.9
1088,UGP,AI Glasses & Neural Band,Watching,2,2,97.9
1088,UGP,AI Glasses & Neural Band,Capture & Share,1,2,97.9
1088,UGP,AI Glasses & Neural Band,Discover & Learn,3,2,97.9
1088,ARO,Gen 2 Glasses,Capture & Share,4,1,97.9
1088,UGP,AI Glasses & Neural Band,Setup & Device Management,1,1,97.9
1088,UGP,AI Glasses & Neural Band,Watching,3,1,97.9
1029,Jh,AI Glasses & Neural Band,Setup & Device Management,1,1,10.0
1029,KAM,AI Glasses & Neural Band,Discover & Learn,3,2,10.0
1029,KAM,AI Glasses & Neural Band,Watching,3,1,10.0
1029,KAM,Gen 2 Glasses,Capture & Share,4,2,10.0
1029,KAM,Gen 2 Glasses,Discover & Learn,4,1,10.0
1029,KAM,AI Glasses & Neural Band,Discover & Learn,2,1,10.0
1029,Jh,AI Glasses & Neural Band,Capture & Share,1,2,10.0
1029,MNA,AI Glasses & Neural Band,Watching,2,2,10.0
1045,RSI,AI Glasses & Neural Band,Discover & Learn,2,2,5.0
1045,ARO,AI Glasses & Neural Band,Discover & Learn,3,2,5.0
1045,ARO,AI Glasses & Neural Band,Watching,3,1,5.0
1045,WIL,Gen 2 Glasses,Capture & Share,4,2,5.0
1045,RSI,AI Glasses & Neural Band,Watching,2,1,5.0
1045,WIL,Gen 2 Glasses,Discover & Learn,4,1,5.0
1045,RSI,AI Glasses & Neural Band,Setup & Device Management,1,1,5.0
1045,RSI,AI Glasses & Neural Band,Capture & Share,1,2,5.0
1073,RSI,AI Glasses & Neural Band,Capture & Share,1,2,0.0
1073,WIL,AI Glasses & Neural Band,Watching,2,1,0.0
1073,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,0.0
1073,KAM,Gen 2 Glasses,Discover & Learn,4,2,0.0
1073,KAM,AI Glasses & Neural Band,Watching,3,1,0.0
1073,RSI,AI Glasses & Neural Band,Setup & Device Management,1,1,0.0
1073,KAM,AI Glasses & Neural Band,Discover & Learn,3,2,0.0
1073,KAM,Gen 2 Glasses,Capture & Share,4,1,0.0
1080,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,6.0
1080,WIL,AI Glasses & Neural Band,Watching,3,2,6.0
1080,WIL,AI Glasses & Neural Band,Discover & Learn,3,1,6.0
1080,WIL,Gen 2 Glasses,Capture & Share,4,2,6.0
1080,WIL,AI Glasses & Neural Band,Setup & Device Management,1,1,6.0
1080,WIL,AI Glasses & Neural Band,Watching,2,1,6.0
1080,WIL,AI Glasses & Neural Band,Capture & Share,1,2,6.0
1080,WIL,Gen 2 Glasses,Discover & Learn,4,1,6.0
1037,LAV,Gen 2 Glasses,Discover & Learn,4,1,52.0
1037,LAV,AI Glasses & Neural Band,Watching,2,2,52.0
1037,LAV,AI Glasses & Neural Band,Capture & Share,1,2,52.0
1037,LAV,AI Glasses & Neural Band,Discover & Learn,3,2,52.0
1037,LAV,AI Glasses & Neural Band,Setup & Device Management,1,1,52.0
1037,LAV,AI Glasses & Neural Band,Discover & Learn,2,1,52.0
1037,LAV,AI Glasses & Neural Band,Watching,3,1,52.0
1037,LAV,Gen 2 Glasses,Capture & Share,4,2,52.0
1006,MAX,AI Glasses & Neural Band,Watching,2,2,94.9
1006,MAX,Gen 2 Glasses,Discover & Learn,4,1,94.9
1006,MAX,Gen 2 Glasses,Capture & Share,4,2,94.9
1006,MAX,AI Glasses & Neural Band,Watching,3,1,94.9
1006,MNB,AI Glasses & Neural Band,Capture & Share,1,2,94.9
1006,JEV,AI Glasses & Neural Band,Discover & Learn,2,1,94.9
1006,MNA,AI Glasses & Neural Band,Discover & Learn,3,2,94.9
1006,MNB,AI Glasses & Neural Band,Setup & Device Management,1,1,94.9
1039,KAM,AI Glasses & Neural Band,Discover & Learn,2,1,3.0
1039,KAM,AI Glasses & Neural Band,Discover & Learn,3,2,3.0
1039,KAM,AI Glasses & Neural Band,Setup & Device Management,1,1,3.0
1039,KAM,AI Glasses & Neural Band,Capture & Share,1,2,3.0
1039,KAM,Gen 2 Glasses,Discover & Learn,4,1,3.0
1039,KAM,AI Glasses & Neural Band,Watching,3,1,3.0
1039,KAM,Gen 2 Glasses,Capture & Share,4,2,3.0
1039,KAM,AI Glasses & Neural Band,Watching,2,2,3.0
1063,LAV,AI Glasses & Neural Band,Capture & Share,1,2,1.8
1063,RS,AI Glasses & Neural Band,Discover & Learn,2,1,1.8
1063,GTR,AI Glasses & Neural Band,Setup & Device Management,1,1,1.8
1063,GTR,AI Glasses & Neural Band,Watching,2,2,1.8
1063,MNA,Gen 2 Glasses,Discover & Learn,4,1,1.8
1063,RS,Gen 2 Glasses,Capture & Share,4,2,1.8
1063,RO,AI Glasses & Neural Band,Discover & Learn,3,2,1.8
1063,RO,AI Glasses & Neural Band,Watching,3,1,1.8
1038,LAV,Gen 2 Glasses,Discover & Learn,3,2,0.0
1038,LAV,AI Glasses & Neural Band,Discover & Learn,2,1,0.0
1038,LAV,Gen 2 Glasses,Capture & Share,3,1,0.0
1038,LAV,AI Glasses & Neural Band,Capture & Share,1,2,0.0
1038,LAV,AI Glasses & Neural Band,Watching,2,2,0.0
1038,LAV,AI Glasses & Neural Band,Setup & Device Management,1,1,0.0
1038,LAV,AI Glasses & Neural Band,Watching,4,2,0.0
1038,LAV,AI Glasses & Neural Band,Discover & Learn,4,1,0.0
1031,MNA,Gen 2 Glasses,Discover & Learn,4,1,36.1
1031,MNA,AI Glasses & Neural Band,Discover & Learn,3,2,36.1
1031,RO,AI Glasses & Neural Band,Discover & Learn,2,1,36.1
1031,JEV,AI Glasses & Neural Band,Setup & Device Management,1,1,36.1
1031,GTR,Gen 2 Glasses,Capture & Share,4,2,36.1
1031,RSI,AI Glasses & Neural Band,Watching,3,1,36.1
1031,JEV,AI Glasses & Neural Band,Capture & Share,1,2,36.1
1031,RO,AI Glasses & Neural Band,Watching,2,2,36.1
1062,GTR,AI Glasses & Neural Band,Discover & Learn,3,2,0.0
1062,GTR,AI Glasses & Neural Band,Watching,3,1,0.0
1062,WIL,Gen 2 Glasses,Capture & Share,4,2,0.0
1062,GTR,AI Glasses & Neural Band,Setup & Device Management,1,1,0.0
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,0.0
1062,GTR,Gen 2 Glasses,Discover & Learn,4,1,0.0
1062,GTR,AI Glasses & Neural Band,Watching,2,1,0.0
1062,KAM,AI Glasses & Neural Band,Discover & Learn,2,2,0.0
3010,KAM,AI Glasses & Neural Band,Setup & Device Management,1,1,44.0
3010,KAM,Gen 2 Glasses,Capture & Share,4,2,44.0
3010,KAM,AI Glasses & Neural Band,Watching,2,1,44.0
3010,KAM,Gen 2 Glasses,Discover & Learn,4,1,44.0
3010,KAM,AI Glasses & Neural Band,Discover & Learn,2,2,44.0
3010,KAM,AI Glasses & Neural Band,Discover & Learn,3,2,44.0
3010,KAM,AI Glasses & Neural Band,Watching,3,1,44.0
3010,KAM,AI Glasses & Neural Band,Capture & Share,1,2,44.0
3003,RAO,AI Glasses & Neural Band,Discover & Learn,2,2,4.0
3003,RAO,AI Glasses & Neural Band,Watching,3,2,4.0
3003,RAO,AI Glasses & Neural Band,Setup & Device Management,1,1,4.0
3003,RAO,AI Glasses & Neural Band,Discover & Learn,3,1,4.0
3003,RAO,AI Glasses & Neural Band,Capture & Share,1,2,4.0
3003,RAO,AI Glasses & Neural Band,Watching,2,1,4.0
3003,RAO,Gen 2 Glasses,Capture & Share,4,1,4.0
3003,RAO,Gen 2 Glasses,Discover & Learn,4,2,4.0
3004,RSI,AI Glasses & Neural Band,Capture & Share,1,2,1.1
3004,RSI,AI Glasses & Neural Band,Discover & Learn,3,1,1.1
3004,RSI,AI Glasses & Neural Band,Setup & Device Management,1,1,1.1
3004,RSI,Gen 2 Glasses,Discover & Learn,4,2,1.1
3004,RSI,AI Glasses & Neural Band,Watching,2,1,1.1
3004,RSI,AI Glasses & Neural Band,Watching,3,2,1.1
3004,RSI,AI Glasses & Neural Band,Discover & Learn,2,2,1.1
3004,RSI,Gen 2 Glasses,Capture & Share,4,1,1.1
3005,KAM,Gen 2 Glasses,Capture & Share,4,1,7.0
3005,KAM,AI Glasses & Neural Band,Watching,3,1,7.0
3005,KAM,AI Glasses & Neural Band,Discover & Learn,3,2,7.0
3005,KAM,Gen 2 Glasses,Discover & Learn,4,2,7.0
3005,KAM,AI Glasses & Neural Band,Setup & Device Management,1,1,7.0
3005,KAM,AI Glasses & Neural Band,Watching,2,1,7.0
3005,KAM,AI Glasses & Neural Band,Capture & Share,1,2,7.0
3005,KAM,AI Glasses & Neural Band,Discover & Learn,2,2,7.0
1104,RAO,Gen 2 Glasses,Capture & Share,4,2,12.0
1104,RAO,Gen 2 Glasses,Discover & Learn,4,1,12.0
1104,RAO,AI Glasses & Neural Band,Setup & Device Management,1,1,12.0
1104,RAO,AI Glasses & Neural Band,Capture & Share,1,2,12.0
1104,RAO,AI Glasses & Neural Band,Discover & Learn,3,2,12.0
1104,RAO,AI Glasses & Neural Band,Discover & Learn,2,2,12.0
1104,RAO,AI Glasses & Neural Band,Watching,3,1,12.0
1104,RAO,AI Glasses & Neural Band,Watching,2,1,12.0
3002,UGP,Gen 2 Glasses,Discover & Learn,4,2,3.3
3002,UGP,AI Glasses & Neural Band,Watching,3,1,3.3
3002,UGP,AI Glasses & Neural Band,Watching,2,1,3.3
3002,UGP,AI Glasses & Neural Band,Discover & Learn,2,2,3.3
3002,UGP,AI Glasses & Neural Band,Capture & Share,1,2,3.3
3002,UGP,Gen 2 Glasses,Capture & Share,4,1,3.3
3002,UGP,AI Glasses & Neural Band,Discover & Learn,3,2,3.3
3002,UGP,AI Glasses & Neural Band,Setup & Device Management,1,1,3.3
1071,WIL,AI Glasses & Neural Band,Watching,3,1,12.0
1071,WIL,Gen 2 Glasses,Capture & Share,4,1,12.0
1071,SCW,AI Glasses & Neural Band,Setup & Device Management,1,1,12.0
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,12.0
1071,WIL,AI Glasses & Neural Band,Discover & Learn,3,2,12.0
1071,RSI,AI Glasses & Neural Band,Watching,2,2,12.0
1071,RAO,AI Glasses & Neural Band,Capture & Share,1,2,12.0
1071,RSI,AI Glasses & Neural Band,Discover & Learn,2,1,12.0
1085,JH,AI Glasses & Neural Band,Discover & Learn,2,1,44.0
1085,JMH,AI Glasses & Neural Band,Watching,3,1,44.0
1085,JMH,AI Glasses & Neural Band,Capture & Share,1,2,44.0
1085,JMH,Gen 2 Glasses,Capture & Share,4,1,44.0
1085,JMH,AI Glasses & Neural Band,Watching,2,2,44.0
1085,Jh,AI Glasses & Neural Band,Setup & Device Management,1,1,44.0
1085,JMH,AI Glasses & Neural Band,Discover & Learn,3,2,44.0
1085,JMH,Gen 2 Glasses,Discover & Learn,4,2,44.0
1082,UGP,AI Glasses & Neural Band,Setup & Device Management,1,1,0.0
1082,ARO,AI Glasses & Neural Band,Discover & Learn,3,1,0.0
1082,UGP,AI Glasses & Neural Band,Watching,2,1,0.0
1082,ARO,AI Glasses & Neural Band,Watching,3,2,0.0
1082,UGP,AI Glasses & Neural Band,Discover & Learn,2,2,0.0
1082,ARO,Gen 2 Glasses,Discover & Learn,4,1,0.0
1082,ARO,Gen 2 Glasses,Capture & Share,4,2,0.0
1082,UGP,AI Glasses & Neural Band,Capture & Share,1,2,0.0
1040,WIL,AI Glasses & Neural Band,Watching,3,1,0.0
1040,WIL,AI Glasses & Neural Band,Watching,2,1,0.0
1040,WIL,AI Glasses & Neural Band,Setup & Device Management,1,1,0.0
1040,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,0.0
1040,WIL,AI Glasses & Neural Band,Discover & Learn,3,2,0.0
1040,Jh,Gen 2 Glasses,Capture & Share,4,2,0.0
1040,JH,Gen 2 Glasses,Discover & Learn,4,1,0.0
1040,WIL,AI Glasses & Neural Band,Capture & Share,1,2,0.0
1078,RAO,Gen 2 Glasses,Discover & Learn,4,1,17.0
1078,RAO,Gen 2 Glasses,Capture & Share,4,2,17.0
1078,RAO,AI Glasses & Neural Band,Setup & Device Management,1,1,17.0
1078,RAO,AI Glasses & Neural Band,Capture & Share,1,2,17.0
1078,RAO,AI Glasses & Neural Band,Discover & Learn,3,1,17.0
1078,RAO,AI Glasses & Neural Band,Discover & Learn,2,1,17.0
1078,RAO,AI Glasses & Neural Band,Watching,3,2,17.0
1078,RAO,AI Glasses & Neural Band,Watching,2,2,17.0
1013,JEV,AI Glasses & Neural Band,Setup & Device Management,1,1,22.0
1013,ABG,AI Glasses & Neural Band,Capture & Share,1,2,22.0
1013,ABG,AI Glasses & Neural Band,Watching,2,2,22.0
1013,WIL,AI Glasses & Neural Band,Discover & Learn,3,1,22.0
1013,WIL,AI Glasses & Neural Band,Watching,3,2,22.0
1013,WIL,Gen 2 Glasses,Discover & Learn,4,1,22.0
1013,WIL,Gen 2 Glasses,Capture & Share,4,2,22.0
1013,ABG,AI Glasses & Neural Band,Discover & Learn,2,1,22.0
1077,UGP,AI Glasses & Neural Band,Discover & Learn,3,1,30.0
1077,RSI,AI Glasses & Neural Band,Capture & Share,1,2,30.0
1077,ARO,AI Glasses & Neural Band,Watching,2,2,30.0
1077,ARO,AI Glasses & Neural Band,Discover & Learn,2,1,30.0
1077,UGP,Gen 2 Glasses,Capture & Share,4,2,30.0
1077,UGP,Gen 2 Glasses,Discover & Learn,4,1,30.0
1077,UGP,AI Glasses & Neural Band,Watching,3,2,30.0
1077,JMH,AI Glasses & Neural Band,Setup & Device Management,1,1,30.0
1084,LAV,AI Glasses & Neural Band,Discover & Learn,3,1,12.0
1084,LAV,Gen 2 Glasses,Discover & Learn,4,1,12.0
1084,LAV,AI Glasses & Neural Band,Watching,2,2,12.0
1084,LAV,AI Glasses & Neural Band,Discover & Learn,2,1,12.0
1084,ARO,AI Glasses & Neural Band,Capture & Share,1,2,12.0
1084,LAV,AI Glasses & Neural Band,Watching,3,2,12.0
1084,ARO,AI Glasses & Neural Band,Setup & Device Management,1,1,12.0
1084,LAV,Gen 2 Glasses,Capture & Share,4,2,12.0
1070,JEV,AI Glasses & Neural Band,Capture & Share,1,2,3.0
1070,JH,AI Glasses & Neural Band,Discover & Learn,3,2,3.0
1070,Jh,AI Glasses & Neural Band,Watching,3,1,3.0
1070,KAM,AI Glasses & Neural Band,Discover & Learn,2,2,3.0
1070,JH,Gen 2 Glasses,Capture & Share,4,1,3.0
1070,JEV,AI Glasses & Neural Band,Setup & Device Management,1,1,3.0
1070,744,Gen 2 Glasses,Discover & Learn,4,2,3.0
1070,KAM,AI Glasses & Neural Band,Watching,2,1,3.0
2003,JEV,AI Glasses & Neural Band,Capture & Share,1,1,1.0
2003,WIL,AI Glasses & Neural Band,Watching,2,2,1.0
2003,MAX,AI Glasses & Neural Band,Watching,3,2,1.0
2003,ABG,AI Glasses & Neural Band,Discover & Learn,2,1,1.0
2003,KAM,AI Glasses & Neural Band,Discover & Learn,4,1,1.0
2003,KAM,Gen 2 Glasses,Capture & Share,4,2,1.0
2003,MNA,AI Glasses & Neural Band,Discover & Learn,3,1,1.0
1015,WIL,AI Glasses & Neural Band,Capture & Share,1,2,17.0
1015,LAV,AI Glasses & Neural Band,Watching,4,2,17.0
1015,WIL,AI Glasses & Neural Band,Setup & Device Management,1,1,17.0
1015,MAX,AI Glasses & Neural Band,Discover & Learn,2,1,17.0
1015,RO,Gen 2 Glasses,Discover & Learn,3,2,17.0
1015,NB,AI Glasses & Neural Band,Discover & Learn,4,1,17.0
1015,RO,Gen 2 Glasses,Capture & Share,3,1,17.0
1015,Gtr,AI Glasses & Neural Band,Watching,2,2,17.0
